[INFO] [1790367105.590139175] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790367772.331285432] [route_follower]: track: 912/972 m, 60 m left, cte -0.12 m, v 0.54 m/s, grade +6.6%
[INFO] [1790367777.330728834] [route_follower]: track: 914/972 m, 57 m left, cte -0.17 m, v 0.54 m/s, grade +5.5%
[INFO] [1790367782.349981927] [route_follower]: track: 917/972 m, 55 m left, cte -0.07 m, v 0.54 m/s, grade +5.5%
[INFO] [1790367787.353667792] [route_follower]: track: 920/972 m, 52 m left, cte +0.02 m, v 0.54 m/s, grade +4.9%
[INFO] [1790367792.353793249] [route_follower]: track: 922/972 m, 49 m left, cte -0.00 m, v 0.54 m/s, grade +4.9%
[INFO] [1790367797.374920162] [route_follower]: track: 925/972 m, 46 m left, cte +0.02 m, v 0.54 m/s, grade +4.7%
[INFO] [1790367802.388282547] [route_follower]: track: 928/972 m, 44 m left, cte +0.03 m, v 0.54 m/s, grade +4.7%
[INFO] [1790367807.408758223] [route_follower]: track: 930/972 m, 41 m left, cte -0.00 m, v 0.54 m/s, grade +3.7%
[INFO] [1790367812.407402009] [route_follower]: track: 933/972 m, 38 m left, cte +0.00 m, v 0.54 m/s, grade +3.7%
[INFO] [1790367817.467404562] [route_follower]: track: 936/972 m, 36 m left, cte +0.04 m, v 0.54 m/s, grade +3.0%
[INFO] [1790367822.472359067] [route_follower]: track: 938/972 m, 33 m left, cte +0.02 m, v 0.54 m/s, grade +3.0%
[INFO] [1790367827.480377033] [route_follower]: track: 941/972 m, 30 m left, cte -0.01 m, v 0.54 m/s, grade +2.6%
[INFO] [1790367832.507097564] [route_follower]: track: 944/972 m, 28 m left, cte +0.01 m, v 0.54 m/s, grade +2.6%
[INFO] [1790367837.515653474] [route_follower]: track: 947/972 m, 25 m left, cte -0.01 m, v 0.54 m/s, grade +2.5%
[INFO] [1790367842.517239924] [route_follower]: track: 949/972 m, 22 m left, cte -0.00 m, v 0.54 m/s, grade +2.1%
[INFO] [1790367847.527464628] [route_follower]: track: 952/972 m, 20 m left, cte +0.01 m, v 0.54 m/s, grade +2.1%
[INFO] [1790367852.535741171] [route_follower]: track: 955/972 m, 17 m left, cte -0.00 m, v 0.54 m/s, grade +2.0%
[INFO] [1790367857.572189419] [route_follower]: track: 957/972 m, 14 m left, cte -0.02 m, v 0.54 m/s, grade +2.0%
[INFO] [1790367862.573654430] [route_follower]: track: 960/972 m, 11 m left, cte +0.00 m, v 0.54 m/s, grade +1.7%
[INFO] [1790367867.587680134] [route_follower]: track: 963/972 m, 9 m left, cte -0.02 m, v 0.54 m/s, grade +1.3%
[INFO] [1790367872.598804533] [route_follower]: track: 966/972 m, 6 m left, cte -0.04 m, v 0.54 m/s, grade +1.3%
[INFO] [1790367877.596864840] [route_follower]: track: 968/972 m, 3 m left, cte -0.07 m, v 0.54 m/s, grade +0.9%
[INFO] [1790367881.974585890] [route_follower]: ARRIVED at turbine_07 after 774 s sim time; true distance to goal 0.99 m; log /home/shyam/Rover2Drone/logs/route_turbine_07_rtk_s2_20260926_014145.csv
