[INFO] [1790328173.730849004] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790328883.919702675] [route_follower]: track: 941/972 m, 31 m left, cte -0.01 m, v 0.54 m/s, grade +2.6%
[INFO] [1790328888.921280530] [route_follower]: track: 943/972 m, 28 m left, cte -0.01 m, v 0.54 m/s, grade +2.6%
[INFO] [1790328893.920488689] [route_follower]: track: 946/972 m, 26 m left, cte -0.03 m, v 0.54 m/s, grade +2.5%
[INFO] [1790328898.922156683] [route_follower]: track: 948/972 m, 23 m left, cte -0.02 m, v 0.54 m/s, grade +2.5%
[INFO] [1790328903.919791232] [route_follower]: track: 951/972 m, 20 m left, cte -0.01 m, v 0.54 m/s, grade +2.1%
[INFO] [1790328908.919501048] [route_follower]: track: 954/972 m, 18 m left, cte +0.04 m, v 0.54 m/s, grade +2.0%
[INFO] [1790328913.919978147] [route_follower]: track: 956/972 m, 15 m left, cte -0.03 m, v 0.54 m/s, grade +2.0%
[INFO] [1790328918.920630814] [route_follower]: track: 959/972 m, 12 m left, cte -0.03 m, v 0.54 m/s, grade +1.7%
[INFO] [1790328923.921648243] [route_follower]: track: 962/972 m, 10 m left, cte +0.00 m, v 0.54 m/s, grade +1.3%
[INFO] [1790328928.919395934] [route_follower]: track: 964/972 m, 7 m left, cte -0.07 m, v 0.54 m/s, grade +1.3%
[INFO] [1790328933.920241842] [route_follower]: track: 967/972 m, 4 m left, cte -0.01 m, v 0.54 m/s, grade +0.9%
[INFO] [1790328938.920320657] [route_follower]: track: 970/972 m, 2 m left, cte -0.05 m, v 0.54 m/s, grade +0.9%
[INFO] [1790328940.272381954] [route_follower]: ARRIVED at turbine_07 after 766 s sim time; true distance to goal 0.89 m; log /home/shyam/Rover2Drone/logs/route_turbine_07_m8n_s2_20260925_145253.csv
