[INFO] [1790328953.199185537] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790329354.068979848] [route_follower]: track: 779/972 m, 192 m left, cte -0.07 m, v 0.54 m/s, grade +5.7%
[INFO] [1790329359.074696915] [route_follower]: track: 782/972 m, 189 m left, cte -0.04 m, v 0.54 m/s, grade +7.0%
[INFO] [1790329364.076628922] [route_follower]: track: 785/972 m, 187 m left, cte -0.37 m, v 0.54 m/s, grade +7.0%
[INFO] [1790329369.075539675] [route_follower]: track: 787/972 m, 184 m left, cte -0.14 m, v 0.54 m/s, grade +7.4%
[INFO] [1790329374.083865235] [route_follower]: track: 790/972 m, 181 m left, cte +0.02 m, v 0.54 m/s, grade +7.4%
[INFO] [1790329379.095677927] [route_follower]: track: 793/972 m, 179 m left, cte -0.12 m, v 0.54 m/s, grade +7.2%
[INFO] [1790329384.096559863] [route_follower]: track: 795/972 m, 176 m left, cte -0.05 m, v 0.54 m/s, grade +7.6%
[INFO] [1790329389.099928243] [route_follower]: track: 798/972 m, 173 m left, cte -0.06 m, v 0.54 m/s, grade +7.6%
[INFO] [1790329394.099957776] [route_follower]: track: 801/972 m, 171 m left, cte -0.07 m, v 0.53 m/s, grade +8.5%
[INFO] [1790329399.112931858] [route_follower]: track: 803/972 m, 168 m left, cte -0.08 m, v 0.53 m/s, grade +8.8%
[INFO] [1790329404.111877266] [route_follower]: track: 806/972 m, 165 m left, cte -0.06 m, v 0.53 m/s, grade +8.8%
[INFO] [1790329409.145837769] [route_follower]: track: 809/972 m, 163 m left, cte -0.07 m, v 0.54 m/s, grade +7.0%
[INFO] [1790329414.149957532] [route_follower]: track: 811/972 m, 160 m left, cte -0.07 m, v 0.54 m/s, grade +7.0%
[INFO] [1790329419.160236329] [route_follower]: track: 814/972 m, 157 m left, cte -0.06 m, v 0.54 m/s, grade +7.7%
[INFO] [1790329424.179355400] [route_follower]: track: 817/972 m, 155 m left, cte -0.07 m, v 0.54 m/s, grade +7.7%
[INFO] [1790329429.175391093] [route_follower]: track: 819/972 m, 152 m left, cte -0.05 m, v 0.53 m/s, grade +8.3%
[INFO] [1790329434.178854380] [route_follower]: track: 822/972 m, 149 m left, cte -0.12 m, v 0.53 m/s, grade +8.3%
[INFO] [1790329439.176064978] [route_follower]: track: 825/972 m, 147 m left, cte +0.02 m, v 0.54 m/s, grade +7.7%
[INFO] [1790329444.189328831] [route_follower]: track: 828/972 m, 144 m left, cte -0.15 m, v 0.51 m/s, grade +9.5%
[INFO] [1790329449.209130537] [route_follower]: track: 830/972 m, 141 m left, cte +0.01 m, v 0.51 m/s, grade +9.5%
[INFO] [1790329454.208433963] [route_follower]: track: 833/972 m, 139 m left, cte +0.08 m, v 0.50 m/s, grade +10.3%
[INFO] [1790329459.208628054] [route_follower]: track: 836/972 m, 136 m left, cte -0.02 m, v 0.50 m/s, grade +10.3%
[INFO] [1790329464.208745621] [route_follower]: track: 838/972 m, 133 m left, cte +0.01 m, v 0.48 m/s, grade +11.2%
[INFO] [1790329469.208460437] [route_follower]: track: 841/972 m, 131 m left, cte -0.01 m, v 0.53 m/s, grade +8.5%
[INFO] [1790329474.224244608] [route_follower]: track: 843/972 m, 128 m left, cte -0.00 m, v 0.53 m/s, grade +8.5%
[INFO] [1790329479.252519631] [route_follower]: track: 846/972 m, 125 m left, cte -0.02 m, v 0.51 m/s, grade +9.5%
[INFO] [1790329484.260805556] [route_follower]: track: 849/972 m, 123 m left, cte -0.04 m, v 0.51 m/s, grade +9.5%
[INFO] [1790329489.260844987] [route_follower]: track: 851/972 m, 120 m left, cte -0.03 m, v 0.51 m/s, grade +9.9%
[INFO] [1790329494.259567118] [route_follower]: track: 854/972 m, 118 m left, cte -0.16 m, v 0.51 m/s, grade +9.9%
[INFO] [1790329499.260298462] [route_follower]: track: 856/972 m, 115 m left, cte -0.03 m, v 0.50 m/s, grade +10.3%
[INFO] [1790329504.261271458] [route_follower]: track: 859/972 m, 113 m left, cte -0.10 m, v 0.50 m/s, grade +10.3%
[INFO] [1790329509.260364231] [route_follower]: track: 861/972 m, 110 m left, cte -0.42 m, v 0.51 m/s, grade +9.7%
[INFO] [1790329514.262297571] [route_follower]: track: 864/972 m, 108 m left, cte -0.48 m, v 0.51 m/s, grade +9.7%
[INFO] [1790329519.262425648] [route_follower]: track: 866/972 m, 105 m left, cte -0.04 m, v 0.50 m/s, grade +10.5%
[INFO] [1790329524.262854958] [route_follower]: track: 869/972 m, 103 m left, cte -0.30 m, v 0.50 m/s, grade +10.5%
[INFO] [1790329529.261523739] [route_follower]: track: 871/972 m, 100 m left, cte -0.06 m, v 0.48 m/s, grade +11.1%
[INFO] [1790329534.260026150] [route_follower]: track: 873/972 m, 98 m left, cte +0.01 m, v 0.48 m/s, grade +11.1%
[INFO] [1790329539.260164596] [route_follower]: track: 876/972 m, 96 m left, cte +0.02 m, v 0.48 m/s, grade +11.4%
[INFO] [1790329544.260639091] [route_follower]: track: 878/972 m, 93 m left, cte -0.04 m, v 0.48 m/s, grade +11.4%
[INFO] [1790329549.259979516] [route_follower]: track: 880/972 m, 91 m left, cte +0.00 m, v 0.47 m/s, grade +11.7%
[INFO] [1790329554.259463821] [route_follower]: track: 883/972 m, 89 m left, cte -0.04 m, v 0.47 m/s, grade +11.7%
[INFO] [1790329559.260980833] [route_follower]: track: 885/972 m, 86 m left, cte -0.09 m, v 0.48 m/s, grade +11.3%
[INFO] [1790329564.262906808] [route_follower]: track: 887/972 m, 84 m left, cte -0.06 m, v 0.48 m/s, grade +11.3%
[INFO] [1790329569.261541807] [route_follower]: track: 890/972 m, 82 m left, cte +0.04 m, v 0.51 m/s, grade +9.8%
[INFO] [1790329574.319399076] [route_follower]: track: 892/972 m, 79 m left, cte +0.06 m, v 0.51 m/s, grade +9.8%
[INFO] [1790329579.324864743] [route_follower]: track: 895/972 m, 76 m left, cte +0.01 m, v 0.53 m/s, grade +8.5%
[INFO] [1790329584.363197523] [route_follower]: track: 898/972 m, 74 m left, cte -0.03 m, v 0.53 m/s, grade +8.5%
[INFO] [1790329589.367994471] [route_follower]: track: 900/972 m, 71 m left, cte +0.00 m, v 0.54 m/s, grade +7.7%
[INFO] [1790329594.371369423] [route_follower]: track: 903/972 m, 69 m left, cte +0.01 m, v 0.54 m/s, grade +7.7%
[INFO] [1790329599.375797742] [route_follower]: track: 906/972 m, 66 m left, cte -0.01 m, v 0.54 m/s, grade +6.9%
[INFO] [1790329604.377278035] [route_follower]: track: 908/972 m, 63 m left, cte +0.00 m, v 0.54 m/s, grade +6.9%
[INFO] [1790329609.381211030] [route_follower]: track: 911/972 m, 60 m left, cte -0.15 m, v 0.54 m/s, grade +6.6%
[INFO] [1790329614.399205610] [route_follower]: track: 914/972 m, 58 m left, cte -0.08 m, v 0.54 m/s, grade +5.5%
[INFO] [1790329619.402011619] [route_follower]: track: 916/972 m, 55 m left, cte -0.14 m, v 0.54 m/s, grade +5.5%
[INFO] [1790329624.407021846] [route_follower]: track: 919/972 m, 52 m left, cte -0.02 m, v 0.54 m/s, grade +4.9%
[INFO] [1790329629.407001195] [route_follower]: track: 922/972 m, 50 m left, cte +0.02 m, v 0.54 m/s, grade +4.9%
[INFO] [1790329634.406408416] [route_follower]: track: 924/972 m, 47 m left, cte +0.04 m, v 0.54 m/s, grade +4.7%
[INFO] [1790329639.412774785] [route_follower]: track: 927/972 m, 44 m left, cte +0.02 m, v 0.54 m/s, grade +4.7%
[INFO] [1790329644.411578849] [route_follower]: track: 930/972 m, 42 m left, cte +0.02 m, v 0.54 m/s, grade +3.7%
[INFO] [1790329649.411372402] [route_follower]: track: 932/972 m, 39 m left, cte -0.01 m, v 0.54 m/s, grade +3.7%
[INFO] [1790329654.410959428] [route_follower]: track: 935/972 m, 36 m left, cte +0.03 m, v 0.54 m/s, grade +3.0%
[INFO] [1790329659.412914989] [route_follower]: track: 938/972 m, 34 m left, cte +0.01 m, v 0.54 m/s, grade +3.0%
[INFO] [1790329664.410907808] [route_follower]: track: 941/972 m, 31 m left, cte -0.00 m, v 0.54 m/s, grade +2.6%
[INFO] [1790329669.411065330] [route_follower]: track: 943/972 m, 28 m left, cte -0.02 m, v 0.54 m/s, grade +2.6%
[INFO] [1790329674.415507866] [route_follower]: track: 946/972 m, 26 m left, cte -0.01 m, v 0.54 m/s, grade +2.5%
[INFO] [1790329679.436435475] [route_follower]: track: 949/972 m, 23 m left, cte -0.03 m, v 0.54 m/s, grade +2.5%
[INFO] [1790329684.441113260] [route_follower]: track: 951/972 m, 20 m left, cte -0.01 m, v 0.54 m/s, grade +2.1%
[INFO] [1790329689.444416528] [route_follower]: track: 954/972 m, 17 m left, cte +0.03 m, v 0.54 m/s, grade +2.0%
[INFO] [1790329694.464220158] [route_follower]: track: 957/972 m, 15 m left, cte -0.04 m, v 0.54 m/s, grade +2.0%
[INFO] [1790329699.461072706] [route_follower]: track: 959/972 m, 12 m left, cte -0.01 m, v 0.54 m/s, grade +1.7%
[INFO] [1790329704.463389422] [route_follower]: track: 962/972 m, 9 m left, cte -0.00 m, v 0.54 m/s, grade +1.3%
[INFO] [1790329709.462525476] [route_follower]: track: 965/972 m, 7 m left, cte -0.09 m, v 0.54 m/s, grade +1.3%
[INFO] [1790329714.460523965] [route_follower]: track: 967/972 m, 4 m left, cte -0.06 m, v 0.54 m/s, grade +0.9%
[INFO] [1790329719.464116624] [route_follower]: track: 970/972 m, 1 m left, cte -0.04 m, v 0.54 m/s, grade +0.9%
[INFO] [1790329720.162157520] [route_follower]: ARRIVED at turbine_07 after 766 s sim time; true distance to goal 2.62 m; log /home/shyam/Rover2Drone/logs/route_turbine_07_m8n_s3_20260925_150553.csv
