[INFO] [1790326500.534983534] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790326888.387449010] [route_follower]: track: 770/972 m, 201 m left, cte -0.11 m, v 0.54 m/s, grade +5.8%
[INFO] [1790326893.386341980] [route_follower]: track: 773/972 m, 198 m left, cte +0.03 m, v 0.54 m/s, grade +5.3%
[INFO] [1790326898.391889450] [route_follower]: track: 776/972 m, 196 m left, cte -0.04 m, v 0.54 m/s, grade +5.3%
[INFO] [1790326903.391923011] [route_follower]: track: 779/972 m, 193 m left, cte -0.05 m, v 0.54 m/s, grade +5.7%
[INFO] [1790326908.390922821] [route_follower]: track: 781/972 m, 190 m left, cte +0.05 m, v 0.54 m/s, grade +5.7%
[INFO] [1790326913.392375913] [route_follower]: track: 784/972 m, 187 m left, cte -0.13 m, v 0.54 m/s, grade +7.0%
[INFO] [1790326918.390912908] [route_follower]: track: 787/972 m, 185 m left, cte -0.05 m, v 0.54 m/s, grade +7.4%
[INFO] [1790326923.392227031] [route_follower]: track: 789/972 m, 182 m left, cte +0.06 m, v 0.54 m/s, grade +7.4%
[INFO] [1790326928.395100967] [route_follower]: track: 792/972 m, 179 m left, cte -0.03 m, v 0.54 m/s, grade +7.2%
[INFO] [1790326933.394850337] [route_follower]: track: 795/972 m, 177 m left, cte +0.00 m, v 0.54 m/s, grade +7.6%
[INFO] [1790326938.396440876] [route_follower]: track: 798/972 m, 174 m left, cte +0.02 m, v 0.54 m/s, grade +7.6%
[INFO] [1790326943.395029027] [route_follower]: track: 800/972 m, 171 m left, cte +0.03 m, v 0.53 m/s, grade +8.5%
[INFO] [1790326948.395515353] [route_follower]: track: 803/972 m, 169 m left, cte -0.00 m, v 0.53 m/s, grade +8.5%
[INFO] [1790326953.396329532] [route_follower]: track: 805/972 m, 166 m left, cte +0.01 m, v 0.53 m/s, grade +8.8%
[INFO] [1790326958.395804990] [route_follower]: track: 808/972 m, 163 m left, cte +0.00 m, v 0.54 m/s, grade +7.0%
[INFO] [1790326963.406923306] [route_follower]: track: 811/972 m, 161 m left, cte -0.00 m, v 0.54 m/s, grade +7.0%
[INFO] [1790326968.420285342] [route_follower]: track: 814/972 m, 158 m left, cte +0.02 m, v 0.54 m/s, grade +7.7%
[INFO] [1790326973.427524593] [route_follower]: track: 816/972 m, 155 m left, cte +0.02 m, v 0.54 m/s, grade +7.7%
[INFO] [1790326978.424341795] [route_follower]: track: 819/972 m, 153 m left, cte +0.04 m, v 0.53 m/s, grade +8.3%
[INFO] [1790326983.425406943] [route_follower]: track: 822/972 m, 150 m left, cte -0.02 m, v 0.53 m/s, grade +8.3%
[INFO] [1790326988.428954818] [route_follower]: track: 824/972 m, 147 m left, cte +0.12 m, v 0.54 m/s, grade +7.7%
[INFO] [1790326993.429057778] [route_follower]: track: 827/972 m, 145 m left, cte -0.02 m, v 0.54 m/s, grade +7.7%
[INFO] [1790326998.428051126] [route_follower]: track: 830/972 m, 142 m left, cte +0.06 m, v 0.51 m/s, grade +9.5%
[INFO] [1790327003.428766881] [route_follower]: track: 832/972 m, 139 m left, cte -0.01 m, v 0.50 m/s, grade +10.3%
[INFO] [1790327008.429572394] [route_follower]: track: 835/972 m, 137 m left, cte +0.02 m, v 0.50 m/s, grade +10.3%
[INFO] [1790327013.429989701] [route_follower]: track: 837/972 m, 134 m left, cte +0.04 m, v 0.48 m/s, grade +11.2%
[INFO] [1790327018.429692915] [route_follower]: track: 840/972 m, 132 m left, cte +0.03 m, v 0.48 m/s, grade +11.2%
[INFO] [1790327023.429050342] [route_follower]: track: 842/972 m, 129 m left, cte +0.07 m, v 0.53 m/s, grade +8.5%
[INFO] [1790327028.428895391] [route_follower]: track: 845/972 m, 127 m left, cte +0.14 m, v 0.53 m/s, grade +8.5%
[INFO] [1790327033.428285600] [route_follower]: track: 847/972 m, 124 m left, cte +0.11 m, v 0.51 m/s, grade +9.5%
[INFO] [1790327038.428909653] [route_follower]: track: 850/972 m, 122 m left, cte +0.03 m, v 0.51 m/s, grade +9.5%
[INFO] [1790327043.429000942] [route_follower]: track: 852/972 m, 119 m left, cte -0.07 m, v 0.51 m/s, grade +9.9%
[INFO] [1790327048.430102407] [route_follower]: track: 855/972 m, 116 m left, cte -0.02 m, v 0.51 m/s, grade +9.9%
[INFO] [1790327053.430432903] [route_follower]: track: 858/972 m, 114 m left, cte -0.15 m, v 0.50 m/s, grade +10.3%
[INFO] [1790327058.445035617] [route_follower]: track: 860/972 m, 112 m left, cte -0.04 m, v 0.50 m/s, grade +10.3%
[INFO] [1790327063.445721897] [route_follower]: track: 863/972 m, 109 m left, cte -0.29 m, v 0.51 m/s, grade +9.7%
[INFO] [1790327068.450015174] [route_follower]: track: 865/972 m, 106 m left, cte -0.11 m, v 0.51 m/s, grade +9.7%
[INFO] [1790327073.454396596] [route_follower]: track: 867/972 m, 104 m left, cte -0.51 m, v 0.50 m/s, grade +10.5%
[INFO] [1790327078.453811782] [route_follower]: track: 870/972 m, 102 m left, cte -0.83 m, v 0.50 m/s, grade +10.5%
[INFO] [1790327083.454460051] [route_follower]: track: 872/972 m, 99 m left, cte -0.89 m, v 0.48 m/s, grade +11.1%
[INFO] [1790327088.456350660] [route_follower]: track: 875/972 m, 97 m left, cte -0.70 m, v 0.48 m/s, grade +11.1%
[INFO] [1790327093.455839874] [route_follower]: track: 877/972 m, 95 m left, cte -0.31 m, v 0.48 m/s, grade +11.4%
[INFO] [1790327098.453307722] [route_follower]: track: 879/972 m, 92 m left, cte +0.04 m, v 0.48 m/s, grade +11.4%
[INFO] [1790327103.453064506] [route_follower]: track: 882/972 m, 90 m left, cte -0.03 m, v 0.47 m/s, grade +11.7%
[INFO] [1790327108.455009958] [route_follower]: track: 884/972 m, 87 m left, cte -0.03 m, v 0.48 m/s, grade +11.3%
[INFO] [1790327113.453694629] [route_follower]: track: 887/972 m, 85 m left, cte -0.14 m, v 0.48 m/s, grade +11.3%
[INFO] [1790327118.453846170] [route_follower]: track: 889/972 m, 83 m left, cte -0.06 m, v 0.51 m/s, grade +9.8%
[INFO] [1790327123.453842301] [route_follower]: track: 891/972 m, 80 m left, cte +0.01 m, v 0.51 m/s, grade +9.8%
[INFO] [1790327128.455143489] [route_follower]: track: 894/972 m, 77 m left, cte +0.01 m, v 0.53 m/s, grade +8.5%
[INFO] [1790327133.454632773] [route_follower]: track: 897/972 m, 75 m left, cte +0.01 m, v 0.53 m/s, grade +8.5%
